otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2020-01-18,169.92,179.50000000,164.92000000,174.14,688783.17982,2020-01-18 23:59:59.999,119388338.75249420,240660.0,350447.01511000,60783310.66908490,0
2020-01-17,164.24,174.81000000,162.14000000,169.85,767180.67853,2020-01-17 23:59:59.999,129909265.25615680,273867.0,375143.01514000,63553850.73453580,0
2020-01-16,166.4,167.40000000,157.80000000,164.21,456170.86719,2020-01-16 23:59:59.999,74038650.82913100,179108.0,221669.39628000,35985561.13104170,0
2020-01-15,165.6,171.98000000,159.20000000,166.4,721687.80381,2020-01-15 23:59:59.999,119239937.92994240,251183.0,350727.96393000,57992191.98119160,0
2020-01-14,143.58,171.70000000,143.51000000,165.64,1108476.31186,2020-01-14 23:59:59.999,173492006.24820750,321408.0,569410.84447000,89171070.39954080,0
2020-01-13,146.56,147.00000000,142.27000000,143.58,207996.61865,2020-01-13 23:59:59.999,29888095.36705080,102544.0,99446.20096000,14292973.19704950,0
2020-01-12,142.4,146.60000000,141.76000000,146.54,229541.86137,2020-01-12 23:59:59.999,33112850.82223460,110842.0,112369.46853000,16214587.12917720,0
2020-01-11,144.83,148.05000000,142.09000000,142.38,368350.57939,2020-01-11 23:59:59.999,53149360.56174780,156488.0,189781.12128000,27384707.92905200,0
2020-01-10,137.73,145.17000000,135.32000000,144.84,409403.59507,2020-01-10 23:59:59.999,57377525.56268220,167313.0,212395.40493000,29753335.79090260,0
2020-01-09,140.76,141.50000000,135.30000000,137.74,366076.06569,2020-01-09 23:59:59.999,50611452.58464480,152241.0,185916.38689000,25716637.96851200,0
2020-01-08,142.8,147.77000000,137.03000000,140.72,570465.57764,2020-01-08 23:59:59.999,81184999.73195760,229912.0,282151.20995000,40157986.56999530,0
2020-01-07,144.14,145.31000000,138.76000000,142.8,447762.17281,2020-01-07 23:59:59.999,63861666.40475940,188444.0,224063.89164000,31981440.09214260,0
2020-01-06,135.37,144.41000000,134.86000000,144.15,408020.27375,2020-01-06 23:59:59.999,57400544.48725700,159866.0,199544.89847000,28085835.71855720,0
2020-01-05,134.2,138.19000000,134.19000000,135.37,254120.45343,2020-01-05 23:59:59.999,34593687.60327480,115106.0,126786.52057000,17260443.97042190,0
2020-01-04,134.37,135.85000000,132.50000000,134.2,184276.17102,2020-01-04 23:59:59.999,24641135.56895300,95488.0,85809.67556000,11476955.59469460,0
2020-01-03,127.19,135.14000000,125.88000000,134.35,413055.18895,2020-01-03 23:59:59.999,54139288.21657680,162310.0,227899.25531000,29863547.62120130,0
2020-01-02,130.72,130.78000000,126.38000000,127.19,213757.05806,2020-01-02 23:59:59.999,27486853.39482150,96193.0,105830.56192000,13615064.56872850,0
2020-01-01,129.16,133.05000000,128.68000000,130.77,144770.52197,2020-01-01 23:59:59.999,18952318.53206430,75888.0,71847.93883000,9407940.16106830,0
2019-12-31,131.61,133.68000000,128.17000000,129.16,264933.98418,2019-12-31 23:59:59.999,34678632.17959370,95085.0,131010.02709000,17146486.49368810,0
2019-12-30,134.36,136.24000000,130.30000000,131.59,320347.21956,2019-12-30 23:59:59.999,42636559.38241520,101293.0,153829.18058000,20482964.26516290,0
2019-12-29,128.11,138.07000000,127.52000000,134.36,316347.26666,2019-12-29 23:59:59.999,41893078.36221210,115498.0,154769.98070000,20495780.18127650,0
2019-12-28,126.28,129.68000000,125.84000000,128.11,196893.52277,2019-12-28 23:59:59.999,25177121.14706410,82441.0,95994.94508000,12279856.69726050,0
2019-12-27,125.58,127.10000000,121.91000000,126.29,240012.37451,2019-12-27 23:59:59.999,30020098.88913110,102142.0,115839.00216000,14500702.34866460,0
2019-12-26,125.09,132.26000000,124.32000000,125.58,274986.52097,2019-12-26 23:59:59.999,34943780.90920390,103034.0,128410.01213000,16332907.92974440,0
2019-12-25,127.7,127.84000000,123.07000000,125.09,225004.4909,2019-12-25 23:59:59.999,28144469.16072900,93397.0,98563.14610000,12331982.19518460,0
2019-12-24,127.8,129.69000000,126.61000000,127.75,200637.10098,2019-12-24 23:59:59.999,25667665.14201030,87657.0,100608.48356000,12872420.08887930,0
2019-12-23,132.12,135.10000000,126.00000000,127.8,421600.75655,2019-12-23 23:59:59.999,55501305.92012300,145867.0,194731.21180000,25638865.78568890,0
